can_id,is_extended,dlc,rx_count,frames_per_second,avg_period_ms,min_period_ms,max_period_ms,representative_payload,payload_changes,unique_payloads,dbc_message,transmitter,receivers,signals,dbc_cycle_ms,classification,evidence
0x40,no,8,1625,25.004657,40.002157,39.731979,40.267944,400C00808300005C,yes,1625,Airbag_01,Gateway|Gateway_PAG,GurtMikrofon|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,Airbag_01_CRC|Airbag_01_BZ|AB_RGS_Anst|AB_Front_Crash|AB_Heck_Crash|AB_SF_Crash|AB_SB_Crash|AB_Rollover_Crash|AB_Crash_Int|AB_Lampe|AB_Deaktiviert|AB_VB_deaktiviert|AB_Systemfehler|AB_Diagnose|AB_Stellgliedtest|AB_Erh_Auf_VB|AB_Gurtwarn_VF|AB_Gurtwarn_VB|AB_Anzeige_Fussg|AB_Texte_AKS|AB_MKB_gueltig|AB_MKB_Anforderung|AB_Versorgungsspannung|AB_Deaktivierung_HV|AB_EDR_Trigger|AB_Belegung_VF|SC_Masterzeit_Offset|SC_LowSpeedCrashErkannt|SC_Masterzeit,40,Ambiguous,DBC mapping lacks domain-specific evidence
0xA0,no,8,650,10.001863,100.006995,99.814892,100.199938,EF0800003320B500,yes,9,,,,,,Ambiguous,CAN ID not present in A5.dbc
0xA7,no,8,650,10.001863,100.006877,99.807978,100.213051,A1DA9F7FFDF9B73C,yes,213,Motor_11,Gateway|Gateway_PAG,OTA_FC|ZR_High|ZR_Standard,Motor_11_CRC|Motor_11_BZ|MO_Mom_Soll_Roh|MO_Mom_Ist_Summe|MO_Mom_Traegheit_Summe|MO_Mom_Soll_gefiltert|MO_Mom_Schub|MO_Status_Normalbetrieb_01|MO_erste_Ungenauschwelle|MO_QBit_Motormomente,200,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0xA8,no,8,6499,100.003239,10.000533,9.660959,10.397911,ABEA9FD19E647C0C,yes,943,Motor_12,Gateway|Gateway_PAG,BedienSG_hi|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,Motor_12_CRC|Motor_12_BZ|MO_Mom_neg_verfuegbar|MO_Mom_Begr_stat|MO_Mom_Begr_dyn|MO_Momentenintegral_02|MO_QBit_Drehzahl_01|MO_Drehzahl_01,10,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0xB1,no,8,130,2.000373,500.035458,499.776840,500.313997,E6290CDC0600100E,yes,8,Getriebe_17,Gateway|Gateway_PAG,OTA_FC|ZR_High,Getriebe_17_CRC|Getriebe_17_BZ|GE_Fahrprogramm|GE_TippZustand|GE_Freilauf_Status|GE_Grundeinstellung|GE_Anschleppstart_Freigabe|GE_Strombedarf_erh|GE_Uefkt_Praed|GE_KomFehler_ESP|GE_Rollrichtung_falsch|GE_Getriebestatus_02|GE_Eingangsdrehz_Praed,500,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0xFD,no,8,3250,50.009313,20.001070,19.716978,20.291090,93E33F0000000000,yes,16,ESP_21,Gateway|Gateway_PAG,BedienSG_hi|DDA|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,ESP_21_CRC|ESP_21_BZ|BR_Eingriffsmoment|ESP_Diagnose|ESC_v_Signal_Qualifier_High_Low|ESP_Vorsteuerung|OBD_Schlechtweg|OBD_QBit_Schlechtweg|ESP_v_Signal|ASR_Tastung_passiv|ESP_Tastung_passiv|ESP_Systemstatus|ASR_Schalteingriff|ESP_QBit_v_Signal|ABS_Bremsung|ASR_Anf|MSR_Anf|EBV_Eingriff|EDS_Eingriff|ESP_Eingriff|ESP_ASP|ESC_Neutralschaltung,100,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x116,no,8,650,10.001863,100.007011,99.799156,100.214958,4A030B30000000FF,yes,16,ESP_10,Gateway|Gateway_PAG,OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,ESP_10_CRC|ESP_10_BZ|ESP_QBit_Wegimpuls_VL|ESP_QBit_Wegimpuls_VR|ESP_QBit_Wegimpuls_HL|ESP_QBit_Wegimpuls_HR|ESP_Wegimpuls_VL|ESP_Wegimpuls_VR|ESP_Wegimpuls_HL|ESP_Wegimpuls_HR|ESP_VL_Fahrtrichtung|ESP_VR_Fahrtrichtung|ESP_HL_Fahrtrichtung|ESP_HR_Fahrtrichtung,50,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x153,no,8,325,5.000931,199.998744,194.925070,205.106974,4305FFFFE0FEFFFF,yes,8,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x154,no,8,325,5.000931,200.013120,199.599981,200.449944,B2E4BF9ECA01860C,yes,147,Motor_28,Gateway|Gateway_PAG,ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,Motor_28_CRC|Motor_28_BZ|MO_IstMoment_VKM|MO_Mom_Begr_Schalt|MO_Mom_Begr_Schalt_Min|MO_Fehlerstatus_Antrieb_FDR|MO_Primaerachse_Anforderung|MO_Drehzahl_VM,500,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x179,no,8,650,10.001863,100.005262,99.816799,100.195169,00000000000000FE,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
